,x_shift,y_shift,cluster
399,-4402.924394961439,-10448.224285110366,cluster_5
400,-4388.4825713062955,-10482.030709565322,cluster_5
401,-4390.239061032324,-10477.918996346354,cluster_5
402,-4392.344078127795,-10472.991426039876,cluster_5
403,-4402.399199680721,-10449.453698722225,cluster_5
404,-4401.48370501141,-10451.596752266985,cluster_5
405,-4407.816760816271,-10436.771895119544,cluster_5
406,-4383.5984965050875,-10493.463691281631,cluster_5
407,-4391.05331445757,-10476.012935341518,cluster_5
408,-4381.083737360108,-10499.350414252858,cluster_5
409,-4386.417122241703,-10486.865656275315,cluster_5
410,-4411.823725075947,-10427.392114714166,cluster_5
411,-4406.191859206284,-10440.57557773169,cluster_5
412,-4380.636849506233,-10500.39652039794,cluster_5
413,-4396.2040128064855,-10463.955822695576,cluster_5
414,-4377.996942829916,-10506.576197407725,cluster_5
415,-4385.842232523646,-10488.21139807964,cluster_5
416,-4400.970625653357,-10452.797804085067,cluster_5
417,-4412.673504615311,-10425.402891712494,cluster_5
418,-4409.524159321056,-10432.775098042885,cluster_5
419,-4376.927115398654,-10509.08052380711,cluster_5
420,-4370.413012449057,-10524.32918869293,cluster_5
421,-4408.034131204251,-10436.263059409077,cluster_5
422,-4379.938883825142,-10502.030366969775,cluster_5
423,-4394.207148162812,-10468.630222226766,cluster_5
424,-4388.8142692429765,-10481.254247983597,cluster_5
425,-4391.9433625704805,-10473.929448864401,cluster_5
426,-4371.038330134001,-10522.865401599192,cluster_5
427,-4366.287383679884,-10533.986747228795,cluster_5
428,-4401.9705347019635,-10450.457147494824,cluster_5
429,-4384.1035559680695,-10492.28141299128,cluster_5
430,-4384.386215410991,-10491.619744123704,cluster_5
431,-4402.065732880641,-10450.234300982322,cluster_5
432,-4359.43459968749,-10550.02822023643,cluster_5
433,-4389.828063548615,-10478.881087818729,cluster_5
434,-4373.521078980809,-10517.053610558498,cluster_5
435,-4407.030018502913,-10438.61355620177,cluster_5
436,-4363.301684472906,-10540.975879425407,cluster_5
437,-4378.483753549734,-10505.436637043582,cluster_5
438,-4383.573950510628,-10493.521150251301,cluster_5
439,-4373.787815878528,-10516.42921429128,cluster_5
440,-4391.005385487206,-10476.125130806198,cluster_5
441,-4395.418901011821,-10465.793666946332,cluster_5
442,-4405.636852642681,-10441.874775666278,cluster_5
443,-4388.692608817017,-10481.539039163548,cluster_5
444,-4363.342122519689,-10540.88121923523,cluster_5
445,-4370.623560395668,-10523.836323427347,cluster_5
446,-4364.653858189821,-10537.810617218745,cluster_5
447,-4374.1948052696935,-10515.476505240473,cluster_5
448,-4353.2771293927335,-10564.442054619403,cluster_5
449,-4369.166979889337,-10527.245988302484,cluster_5
450,-4386.612756093595,-10486.407702959117,cluster_5
451,-4379.062644402473,-10504.08152910513,cluster_5
452,-4351.888909665854,-10567.691695831227,cluster_5
453,-4359.145621274321,-10550.704680988702,cluster_5
454,-4557.109178994968,-10087.297827482771,cluster_5
455,-4550.791297400877,-10102.0871637831,cluster_5
456,-4544.068210453284,-10117.825032934894,cluster_5
457,-4546.154676822305,-10112.940887458086,cluster_5
458,-4535.794328574948,-10137.193110633973,cluster_5
459,-4524.95498383454,-10162.566602088933,cluster_5
460,-4509.094822142962,-10199.69317078781,cluster_5
461,-4492.779517207146,-10237.885170423246,cluster_5
462,-4483.379424341994,-10259.889561066953,cluster_5
463,-4472.738615737138,-10284.798305338427,cluster_5
464,-4483.116979583552,-10260.503909996267,cluster_5
465,-4468.778319764993,-10294.068841373115,cluster_5
466,-4457.832047956673,-10319.692635139605,cluster_5
467,-4445.494505033622,-10348.573213018657,cluster_5
468,-4438.484944041615,-10364.981680522294,cluster_5
469,-4435.623874751456,-10371.679070348386,cluster_5
470,-4421.603119612276,-10404.499828358772,cluster_5
471,-4429.298827954049,-10386.48517945459,cluster_5
472,-4412.2602123459155,-10426.370354978684,cluster_5
473,-4407.59846988177,-10437.282885709279,cluster_5
474,-4546.052345468596,-10113.180431802426,cluster_5
475,-4516.083347915466,-10183.333943987838,cluster_5
476,-4501.661916340701,-10217.092633243887,cluster_5
477,-4477.209376475321,-10274.332837904354,cluster_5
478,-4478.796010987079,-10270.618733575135,cluster_5
479,-4471.481968473404,-10287.739952584816,cluster_5
480,-4464.951120689236,-10303.027814943089,cluster_5
481,-4416.697382756239,-10415.98351811844,cluster_5
482,-4425.051019687932,-10396.428744247842,cluster_5
483,-4418.179591832942,-10412.513860104707,cluster_5
484,-4412.1846425660815,-10426.547253971085,cluster_5
485,-4402.6858892974315,-10448.782595743765,cluster_5
